SUMMARY,DTSTART,DTEND,DUE,NOTES,ATTENDEE,LOCATION,PRIORITY,URL
"Holiday","07/31/2017 04:00 PM UTC","08/01/2017 04:00 PM UTC","",,,,,
"Holiday","08/01/2017 04:00 PM UTC","08/02/2017 04:00 PM UTC","",,,,,
"Holiday","08/02/2017 04:00 PM UTC","08/03/2017 04:00 PM UTC","",,,,,
"Holiday","08/03/2017 04:00 PM UTC","08/04/2017 04:00 PM UTC","",,,,,
"Holiday","08/06/2017 04:00 PM UTC","08/07/2017 04:00 PM UTC","",,,,,
"Holiday","08/07/2017 04:00 PM UTC","08/08/2017 04:00 PM UTC","",,,,,
"Holiday","08/08/2017 04:00 PM UTC","08/09/2017 04:00 PM UTC","",,,,,
"Holiday","08/09/2017 04:00 PM UTC","08/10/2017 04:00 PM UTC","",,,,,
"Staff CPD day","08/10/2017 04:00 PM UTC","08/11/2017 04:00 PM UTC","",,,,,
"Staff CPD day","08/13/2017 04:00 PM UTC","08/14/2017 04:00 PM UTC","",,,,,
"Week 1 Tuesday","08/14/2017 04:00 PM UTC","08/15/2017 04:00 PM UTC","",,,,,
"Week 1 Wednesday","08/15/2017 04:00 PM UTC","08/16/2017 04:00 PM UTC","",,,,,
"Week 1 Thursday","08/16/2017 04:00 PM UTC","08/17/2017 04:00 PM UTC","",,,,,
"Week 1 Friday","08/17/2017 04:00 PM UTC","08/18/2017 04:00 PM UTC","",,,,,
"Week 2 Monday","08/20/2017 04:00 PM UTC","08/21/2017 04:00 PM UTC","",,,,,
"Week 2 Tuesday","08/21/2017 04:00 PM UTC","08/22/2017 04:00 PM UTC","",,,,,
"Holiday","08/22/2017 04:00 PM UTC","08/23/2017 04:00 PM UTC","",,,,,
"Week 2 Thursday","08/23/2017 04:00 PM UTC","08/24/2017 04:00 PM UTC","",,,,,
"Week 2 Friday","08/24/2017 04:00 PM UTC","08/25/2017 04:00 PM UTC","",,,,,
"Week 1 Monday","08/27/2017 04:00 PM UTC","08/28/2017 04:00 PM UTC","",,,,,
"Week 1 Tuesday","08/28/2017 04:00 PM UTC","08/29/2017 04:00 PM UTC","",,,,,
"Week 1 Wednesday","08/29/2017 04:00 PM UTC","08/30/2017 04:00 PM UTC","",,,,,
"Week 1 Thursday","08/30/2017 04:00 PM UTC","08/31/2017 04:00 PM UTC","",,,,,
"Week 1 Friday","08/31/2017 04:00 PM UTC","09/01/2017 04:00 PM UTC","",,,,,
"Week 2 Monday","09/03/2017 04:00 PM UTC","09/04/2017 04:00 PM UTC","",,,,,
"Week 2 Tuesday","09/04/2017 04:00 PM UTC","09/05/2017 04:00 PM UTC","",,,,,
"Week 2 Wednesday","09/05/2017 04:00 PM UTC","09/06/2017 04:00 PM UTC","",,,,,
"Week 2 Thursday","09/06/2017 04:00 PM UTC","09/07/2017 04:00 PM UTC","",,,,,
"Week 2 Friday","09/07/2017 04:00 PM UTC","09/08/2017 04:00 PM UTC","",,,,,
"Week 1 Monday","09/10/2017 04:00 PM UTC","09/11/2017 04:00 PM UTC","",,,,,
"Week 1 Tuesday","09/11/2017 04:00 PM UTC","09/12/2017 04:00 PM UTC","",,,,,
"Week 1 Wednesday","09/12/2017 04:00 PM UTC","09/13/2017 04:00 PM UTC","",,,,,
"Week 1 Thursday","09/13/2017 04:00 PM UTC","09/14/2017 04:00 PM UTC","",,,,,
"Week 1 Friday","09/14/2017 04:00 PM UTC","09/15/2017 04:00 PM UTC","",,,,,
"Week 2 Monday","09/17/2017 04:00 PM UTC","09/18/2017 04:00 PM UTC","",,,,,
"Week 2 Tuesday","09/18/2017 04:00 PM UTC","09/19/2017 04:00 PM UTC","",,,,,
"Week 2 Wednesday","09/19/2017 04:00 PM UTC","09/20/2017 04:00 PM UTC","",,,,,
"Week 2 Thursday","09/20/2017 04:00 PM UTC","09/21/2017 04:00 PM UTC","",,,,,
"Week 2 Friday","09/21/2017 04:00 PM UTC","09/22/2017 04:00 PM UTC","",,,,,
"Week 1 Monday","09/24/2017 04:00 PM UTC","09/25/2017 04:00 PM UTC","",,,,,
"Week 1 Tuesday","09/25/2017 04:00 PM UTC","09/26/2017 04:00 PM UTC","",,,,,
"Week 1 Wednesday","09/26/2017 04:00 PM UTC","09/27/2017 04:00 PM UTC","",,,,,
"Week 1 Thursday","09/27/2017 04:00 PM UTC","09/28/2017 04:00 PM UTC","",,,,,
